Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
76487407,13,28,0,0,UP,1451167464330
76487407,83,31,0,0,DOWN,1455831601530
76487407,83,31,0,0,UP,1455975693030
76487407,69,18,0,0,DOWN,1455991428230
76487407,76,38,0,0,DOWN,1456087415130
76487407,69,18,0,0,UP,1456103478230
76487407,76,38,0,0,UP,1456167386930
76487407,8,14,0,0,DOWN,1456671390930
76487407,8,14,0,0,UP,1456799448530
76487407,82,19,0,0,DOWN,1456823468930
76487407,82,19,0,0,UP,1456919400930
76487407,9,15,0,0,DOWN,1457007428930
76487407,9,15,0,0,UP,1457095402630
76487407,9,15,0,0,DOWN,1458111406130
76487407,9,15,0,0,UP,1458263412230
76487407,9,15,0,0,DOWN,1458543518130
76487407,9,15,0,0,UP,1458663375630
76487407,9,15,0,0,DOWN,1458735610830
76487407,9,15,0,0,UP,1458895485630
76487407,9,15,0,0,DOWN,1458991560830
76487407,9,15,0,0,UP,1459287420730
76487407,8,14,0,0,DOWN,1459455581730
76487407,8,14,0,0,DOWN,1459968501230
76487407,8,14,0,0,DOWN,1459999438730
76487407,8,14,0,0,DOWN,1460029778430
76487407,8,14,0,0,DOWN,1460061827030
76487407,8,14,0,0,DOWN,1460092969630
76487407,8,14,0,0,DOWN,1460124152230
76487407,8,14,0,0,DOWN,1460155199830
76487407,8,14,0,0,DOWN,1460201664730
76487407,8,14,0,0,DOWN,1460233100130
76487407,8,14,0,0,DOWN,1460264178230
76487407,8,14,0,0,DOWN,1460295062430
76487407,8,14,0,0,DOWN,1460326634630
76487407,8,14,0,0,DOWN,1460357639430
76487407,8,14,0,0,DOWN,1460388544330
76487407,8,14,0,0,UP,1460399452230
76487407,8,14,0,0,DOWN,1460559591430
76487407,8,14,0,0,UP,1460639480430
76487407,8,14,0,0,DOWN,1460943418630
76487407,8,14,0,0,UP,1461039471830
76487407,76,38,0,0,DOWN,1461687380830
76487407,76,38,0,0,UP,1461759371530
76487407,9,15,0,0,DOWN,1461863429530
76487407,9,15,0,0,UP,1461959384530
76487407,9,15,0,0,DOWN,1462447423730
76487407,9,15,0,0,UP,1462567336230
76487407,13,28,0,0,DOWN,1462927432130
76487407,13,28,0,0,UP,1462999744630
76487407,91,91,1,0,DOWN,1529202094830
76487407,91,91,1,0,UP,1529315732830
76487407,86,47,0,0,DOWN,1530673311730
76487407,86,47,0,0,UP,1530775817130
76487407,83,31,0,0,DOWN,1530959725730
76487407,83,31,0,0,UP,1531047321030
76487407,13,28,0,0,DOWN,1531935397030
76487407,13,28,0,0,UP,1532015310030
85922219,65,30,0,0,DOWN,1583247819230
85922219,65,30,0,0,UP,1583311621430
85922219,78,49,0,0,DOWN,1583399321530
85922219,78,49,0,0,UP,1583479507630
85922219,76,38,0,0,DOWN,1583551290630
85922219,76,38,0,0,UP,1583623464330
85922219,39,77,1,0,DOWN,1583695368730
85922219,39,77,1,0,UP,1583776565830
85922219,66,48,0,0,DOWN,1583847058330
85922219,66,48,0,0,UP,1583983312030
85922219,68,32,0,0,DOWN,1583999956230
85922219,68,32,0,0,UP,1584127142730
85922219,71,34,0,0,DOWN,1584151323630
85922219,71,34,0,0,UP,1584231333430
85922219,70,33,0,0,DOWN,1584303092230
85922219,70,33,0,0,UP,1584391015530
85922219,69,18,0,0,DOWN,1584447551030
85922219,69,18,0,0,UP,1584583090330
85922219,72,35,0,0,DOWN,1584599054230
85922219,72,35,0,0,UP,1584694984730
85922219,82,19,0,0,DOWN,1584743090130
85922219,82,19,0,0,UP,1584887593130
85922219,85,22,0,0,DOWN,1584896082030
85922219,85,22,0,0,UP,1584967197930
76487407,13,28,0,0,DOWN,1605000163930
76487407,13,28,0,0,UP,1605064354830
76487407,40,80,1,0,DOWN,1623374894730
76487407,40,80,1,0,UP,1623511304830
76487407,39,77,1,0,DOWN,1624391335030
76487407,39,77,1,0,UP,1624559119530
76487407,37,75,1,0,DOWN,1625383029630
76487407,37,75,1,0,UP,1625543746230
76487407,17,29,0,0,DOWN,1643088000230
76487407,67,46,0,0,DOWN,1643496177230
